name,team,age,league,position,apps,minutesPlayed,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outFielderBlockPerGame,goalOwn,rating
Marcos André,Valencia,26,La Liga,FW,3,366,0.4,0,0.8,0,0,0.1,0,0,6.33
Rui Patrício,Roma,34,Serie A,GK,15,1350,0.1,0.1,0,0,0.1,0,0,0,6.33
Riccardo Orsolini,Bologna,25,Serie A,MF,6,619,0.8,0.3,0.9,0,0.5,0.6,0.2,0,6.33
Odilon Kossounou,Leverkusen,21,Bundesliga,DF,5,516,0.5,0.5,0.3,0,1.5,0,0.3,0,6.33
Sékou Mara,Southampton,20,Premier League,FW,2,209,0.6,0,0.7,0,0.2,0.3,0,0,6.33
Sargis Adamyan,FC Koln,29,Bundesliga,MF,3,430,0.6,0.1,0.8,0,0.1,0.4,0,0,6.33
Luis Hernández,Cadiz,33,La Liga,DF,12,1080,0.7,0.9,0.6,0.2,4.3,0.3,1,0,6.33
Juan Carlos Martín,Girona,34,La Liga,GK,10,900,0,0.1,0,0,1.1,0,0,0,6.33
Dominick Drexler,Schalke,32,Bundesliga,MF,10,736,1,0.2,1.3,0,0.5,0.5,0.1,0,6.33
Morten Thorsby,Union Berlin,26,Bundesliga,MF,4,431,1.2,0.1,0.7,0,0.7,0.2,0.1,0,6.33
Atakan Karazor,Stuttgart,26,Bundesliga,DF,5,482,1.8,0.6,0.8,0,1.3,0.3,0.2,0,6.32
Florian Müller,Stuttgart,25,Bundesliga,GK,15,1350,0,0,0,0,0.8,0,0,0,6.32
Jerdy Schouten,Bologna,25,Serie A,MF,10,856,1.4,1.1,0.8,0,1.7,0.5,1,1,6.32
Simon Zoller,Bochum,31,Bundesliga,MF,13,987,0.4,0.3,1.1,0,0.9,0.3,0,0,6.32
Valère Germain,Montpellier,32,Ligue 1,MF,2,287,0.2,0.2,0.3,0,0.5,0.2,0,0,6.32
Andoni Gorosabel,Real Sociedad,26,La Liga,DF,8,716,1.7,0.6,0.5,0.1,0.5,0.4,0,0,6.32
Remi Oudin,Lecce,26,Serie A,MF,1,210,1,0.9,0.3,0,0.7,0.4,0,0,6.32
Joan Jordán,Sevilla,28,La Liga,MF,9,687,1.1,0.5,1.5,0,0.4,0.8,0.3,0,6.32
Alex Král,Schalke,24,Bundesliga,MF,10,905,1.6,0.9,0.8,0,1.8,0.5,0.3,0,6.32
Federico Bonazzoli,Salernitana,25,Serie A,MF,9,735,0.1,0.2,0.6,0,0,0.4,0,0,6.32
Frank Onyeka,Brentford,24,Premier League,MF,4,439,1.1,0.4,0.8,0,0.6,0.4,0.2,0,6.32
José Morales,Villarreal,35,La Liga,DF,3,421,0.2,0,0.2,0,0,0.2,0.1,0,6.32
Iago,Augsburg,25,Bundesliga,DF,13,1093,1.6,0.7,0.5,0.3,2.5,0.7,0.2,0,6.32
Benjamin Leroy,AC Ajaccio,33,Ligue 1,GK,14,1179,0,0,0,0,0.4,0.1,0,0,6.32
Wilfred Ndidi,Leicester,25,Premier League,DF,7,637,1.6,1.4,1.1,0,1.7,0.7,0.5,0,6.32
Toni Villa,Girona,27,La Liga,MF,3,286,0.9,0.3,0.3,0,0,0.2,0,0,6.31
Javier Puado,Espanyol,24,La Liga,MF,8,751,0.5,0.2,0.3,0,0.2,0.5,0,0,6.31
